dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
26000001,27000000,26200684,27200683,2.2941739313730508e-05,0.0005010522222193,4456,4456,94.6,189.3,98.6,197.2,0.9861575856719899,0.9862282029790728,0.9816259222731426,0.0045316633988472,0.013842414328010196,0.9817599341144844,0.0044682688645884,0.013771797020927233
27000001,28000000,25200684,26200683,0.0,0.000206516801174,14292,14291,94.2,188.3,98.1,196.2,0.9809067006478118,0.9809463382060094,0.9736244110981396,0.0072822895496722,0.019093299352188224,0.97374057896578,0.0072057592402294,0.019053661793990567
28000001,29000000,24200684,25200683,0.0,0.0002410771383577,11529,11529,94.0,188.0,98.0,195.9,0.9793664912300359,0.9794995430011246,0.9722613866622132,0.0071051045678228,0.02063350876996402,0.9725094576120564,0.0069900853890682,0.02050045699887537
29000001,30000000,23200684,24200683,9.138961886074268e-05,0.0002622947715287,8606,8606,94.0,188.1,98.0,195.9,0.9795545810021931,0.9794023587606195,0.9719331025699112,0.0076214784322819,0.020445418997806934,0.971670503203114,0.0077318555575056,0.02059764123938041
30000001,31000000,22200684,23200683,0.0,0.0001726044613942,12892,12890,94.0,187.9,97.8,195.7,0.9785693517897595,0.9785779133974135,0.9711437088372205,0.007425642952539,0.021430648210240547,0.9710271886539844,0.0075507247434291,0.02142208660258649
31000001,32000000,21200684,22200683,0.0004759454730354,0.0003619214323291,6532,6532,93.9,187.8,97.8,195.7,0.9781863000438019,0.9783108006890993,0.9676268315261208,0.0105594685176811,0.021813699956198064,0.9678386371645896,0.0104721635245096,0.021689199310900777
32000001,33000000,20200684,21200683,6.550514927875379e-05,0.0001817891244014,18243,18240,93.9,187.8,97.8,195.6,0.9780803089655833,0.9781197792504642,0.9691478345964092,0.0089324743691741,0.021919691034416714,0.9691507995583558,0.0089689796921084,0.021880220749535786
33000001,34000000,19200684,20200683,0.0,0.0002417849727133,10469,10469,93.9,187.8,97.8,195.6,0.9780548262632643,0.9777802143410526,0.97045861133515,0.0075962149281144,0.02194517373673561,0.9701641895253384,0.0076160248157141,0.02221978565894745
34000001,35000000,18200684,19200683,0.0,0.000310026606289,4750,4750,94.3,188.6,98.2,196.5,0.9825271162029788,0.9824467108293978,0.9749347913960006,0.0075923248069782,0.01747288379702121,0.9749061572743136,0.0075405535550842,0.017553289170602178
35000001,36000000,17200684,18200683,0.0,0.0002262006863754,13013,13013,94.3,188.6,98.2,196.4,0.982229616445454,0.9821666069743332,0.9746369116322512,0.0075927048132028,0.01777038355454601,0.9745283557554276,0.0076382512189056,0.017833393025666777
